Original,Anonymised
A,stock1
AAL,stock2
AAPL,stock3
ABT,stock4
ACGL,stock5
ACN,stock6
ADBE,stock7
ADI,stock8
ADM,stock9
ADP,stock10
ADSK,stock11
AEE,stock12
AEP,stock13
AES,stock14
AFL,stock15
AIG,stock16
AIZ,stock17
AJG,stock18
AKAM,stock19
ALB,stock20
ALGN,stock21
ALL,stock22
AMAT,stock23
AMD,stock24
AME,stock25
AMGN,stock26
AMP,stock27
AMT,stock28
AMZN,stock29
ANSS,stock30
AON,stock31
AOS,stock32
APA,stock33
APD,stock34
APH,stock35
ARE,stock36
ATO,stock37
AVB,stock38
AVY,stock39
AWK,stock40
AXON,stock41
AXP,stock42
AZO,stock43
BA,stock44
BAC,stock45
BALL,stock46
BAX,stock47
BBWI,stock48
BBY,stock49
BDX,stock50
BEN,stock51
BG,stock52
BIIB,stock53
BIO,stock54
BK,stock55
BKNG,stock56
BKR,stock57
BLDR,stock58
BLK,stock59
BMY,stock60
BR,stock61
BRO,stock62
BSX,stock63
BWA,stock64
BX,stock65
BXP,stock66
C,stock67
CAG,stock68
CAH,stock69
CAT,stock70
CB,stock71
CBRE,stock72
CCI,stock73
CCL,stock74
CDNS,stock75
CE,stock76
CF,stock77
CHD,stock78
CHRW,stock79
CI,stock80
CINF,stock81
CL,stock82
CLX,stock83
CMA,stock84
CMCSA,stock85
CME,stock86
CMG,stock87
CMI,stock88
CMS,stock89
CNC,stock90
CNP,stock91
COF,stock92
COO,stock93
COP,stock94
COR,stock95
COST,stock96
CPB,stock97
CPRT,stock98
CPT,stock99
CRL,stock100
CRM,stock101
CSCO,stock102
CSGP,stock103
CSX,stock104
CTAS,stock105
CTRA,stock106
CTSH,stock107
CVS,stock108
CVX,stock109
D,stock110
DAL,stock111
DD,stock112
DE,stock113
DFS,stock114
DGX,stock115
DHI,stock116
DHR,stock117
DIS,stock118
DLR,stock119
DLTR,stock120
DOV,stock121
DPZ,stock122
DRI,stock123
DTE,stock124
DUK,stock125
DVA,stock126
DVN,stock127
DXCM,stock128
EA,stock129
EBAY,stock130
ECL,stock131
ED,stock132
EFX,stock133
EG,stock134
EIX,stock135
EL,stock136
ELV,stock137
EMN,stock138
EMR,stock139
EOG,stock140
EQIX,stock141
EQR,stock142
EQT,stock143
ES,stock144
ESS,stock145
ETN,stock146
ETR,stock147
EVRG,stock148
EW,stock149
EXC,stock150
EXPD,stock151
EXPE,stock152
EXR,stock153
F,stock154
FAST,stock155
FCX,stock156
FDS,stock157
FDX,stock158
FE,stock159
FFIV,stock160
FI,stock161
FICO,stock162
FIS,stock163
FITB,stock164
FMC,stock165
FRT,stock166
FSLR,stock167
GD,stock168
GE,stock169
GEN,stock170
GILD,stock171
GIS,stock172
GL,stock173
GLW,stock174
GOOG,stock175
GOOGL,stock176
GPC,stock177
GPN,stock178
GRMN,stock179
GS,stock180
GWW,stock181
HAL,stock182
HAS,stock183
HBAN,stock184
HD,stock185
HES,stock186
HIG,stock187
HOLX,stock188
HON,stock189
HPQ,stock190
HRL,stock191
HSIC,stock192
HST,stock193
HSY,stock194
HUBB,stock195
HUM,stock196
IBM,stock197
ICE,stock198
IDXX,stock199
IEX,stock200
IFF,stock201
ILMN,stock202
INCY,stock203
INTC,stock204
INTU,stock205
IP,stock206
IPG,stock207
IRM,stock208
ISRG,stock209
IT,stock210
ITW,stock211
IVZ,stock212
J,stock213
JBHT,stock214
JBL,stock215
JCI,stock216
JKHY,stock217
JNJ,stock218
JNPR,stock219
JPM,stock220
K,stock221
KDP,stock222
KEY,stock223
KIM,stock224
KLAC,stock225
KMB,stock226
KMX,stock227
KO,stock228
KR,stock229
L,stock230
LDOS,stock231
LEN,stock232
LH,stock233
LHX,stock234
LIN,stock235
LKQ,stock236
LLY,stock237
LMT,stock238
LNT,stock239
LOW,stock240
LRCX,stock241
LULU,stock242
LUV,stock243
LVS,stock244
LYV,stock245
MA,stock246
MAA,stock247
MAR,stock248
MAS,stock249
MCD,stock250
MCHP,stock251
MCK,stock252
MCO,stock253
MDLZ,stock254
MDT,stock255
MET,stock256
MGM,stock257
MHK,stock258
MKC,stock259
MKTX,stock260
MLM,stock261
MMC,stock262
MMM,stock263
MNST,stock264
MO,stock265
MOH,stock266
MOS,stock267
MPWR,stock268
MRK,stock269
MRO,stock270
MS,stock271
MSCI,stock272
MSFT,stock273
MSI,stock274
MTB,stock275
MTCH,stock276
MTD,stock277
MU,stock278
NDAQ,stock279
NDSN,stock280
NEE,stock281
NEM,stock282
NFLX,stock283
NI,stock284
NKE,stock285
NOC,stock286
NRG,stock287
NSC,stock288
NTAP,stock289
NTRS,stock290
NUE,stock291
NVDA,stock292
NVR,stock293
O,stock294
ODFL,stock295
OKE,stock296
OMC,stock297
ON,stock298
ORCL,stock299
ORLY,stock300
OXY,stock301
PARA,stock302
PAYX,stock303
PCAR,stock304
PCG,stock305
PEAK,stock306
PEG,stock307
PEP,stock308
PFE,stock309
PFG,stock310
PG,stock311
PGR,stock312
PH,stock313
PHM,stock314
PKG,stock315
PLD,stock316
PM,stock317
PNC,stock318
PNR,stock319
PNW,stock320
PODD,stock321
POOL,stock322
PPG,stock323
PPL,stock324
PRU,stock325
PSA,stock326
PTC,stock327
PWR,stock328
PXD,stock329
QCOM,stock330
RCL,stock331
REG,stock332
REGN,stock333
RF,stock334
RHI,stock335
RJF,stock336
RL,stock337
RMD,stock338
ROK,stock339
ROL,stock340
ROP,stock341
ROST,stock342
RSG,stock343
RTX,stock344
RVTY,stock345
SBAC,stock346
SBUX,stock347
SCHW,stock348
SHW,stock349
SJM,stock350
SLB,stock351
SNA,stock352
SNPS,stock353
SO,stock354
SPG,stock355
SPGI,stock356
SRE,stock357
STE,stock358
STLD,stock359
STT,stock360
STX,stock361
STZ,stock362
SWK,stock363
SWKS,stock364
SYK,stock365
SYY,stock366
T,stock367
TAP,stock368
TDG,stock369
TDY,stock370
TECH,stock371
TEL,stock372
TER,stock373
TFC,stock374
TFX,stock375
TGT,stock376
TJX,stock377
TMO,stock378
TMUS,stock379
TPR,stock380
TRMB,stock381
TROW,stock382
TRV,stock383
TSCO,stock384
TSN,stock385
TT,stock386
TTWO,stock387
TXN,stock388
TXT,stock389
TYL,stock390
UAL,stock391
UDR,stock392
UHS,stock393
ULTA,stock394
UNH,stock395
UNP,stock396
UPS,stock397
URI,stock398
USB,stock399
V,stock400
VFC,stock401
VLO,stock402
VMC,stock403
VRSN,stock404
VRTX,stock405
VTR,stock406
VTRS,stock407
VZ,stock408
WAB,stock409
WAT,stock410
WBA,stock411
WBD,stock412
WDC,stock413
WEC,stock414
WELL,stock415
WFC,stock416
WHR,stock417
WM,stock418
WMB,stock419
WMT,stock420
WRB,stock421
WST,stock422
WTW,stock423
WY,stock424
WYNN,stock425
XEL,stock426
XOM,stock427
XRAY,stock428
YUM,stock429
ZBH,stock430
ZBRA,stock431
ZION,stock432
